 Node Depth Head Moisture K C Flux Sink Kappa v/KsTop Temp Conc(1..NS) Sorb(1...NS)
 7 -120.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.6581E-04 0.0000E+00
 8 -140.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.1574E-03 0.0000E+00
 9 -160.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3336E-03 0.0000E+00
 10 -180.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.6347E-03 0.0000E+00
 11 -200.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.1095E-02 0.0000E+00
 12 -220.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.1732E-02 0.0000E+00
 13 -240.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.2531E-02 0.0000E+00
 14 -260.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3443E-02 0.0000E+00
 15 -280.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.4391E-02 0.0000E+00
 16 -300.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.5284E-02 0.0000E+00
 17 -320.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.6032E-02 0.0000E+00
 18 -340.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.6566E-02 0.0000E+00
 19 -360.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.6843E-02 0.0000E+00
 20 -380.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.6852E-02 0.0000E+00
 21 -400.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.6612E-02 0.0000E+00
 22 -420.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.6162E-02 0.0000E+00
 23 -440.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.5558E-02 0.0000E+00
 24 -460.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.4857E-02 0.0000E+00
 25 -480.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.4117E-02 0.0000E+00
 26 -500.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3389E-02 0.0000E+00
 27 -520.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.2710E-02 0.0000E+00
 28 -540.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.2107E-02 0.0000E+00
 29 -560.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.1593E-02 0.0000E+00
 30 -580.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.1173E-02 0.0000E+00
 31 -600.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.8405E-03 0.0000E+00
 32 -620.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.5871E-03 0.0000E+00
 33 -640.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3998E-03 0.0000E+00
 34 -660.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.2656E-03 0.0000E+00
 35 -680.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.1723E-03 0.0000E+00
 36 -700.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.1092E-03 0.0000E+00
 37 -720.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.6760E-04 0.0000E+00
 38 -740.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.4095E-04 0.0000E+00
 39 -760.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.2428E-04 0.0000E+00
 40 -780.0000 0.000 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.1498E-04 0.0000E+00
 41 -800.0000 1.238 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.2255E-05 0.0000E+00
 42 -820.0000 2.768 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.2793E-06 0.0000E+00
 43 -840.0000 4.297 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3266E-07 0.0000E+00
 44 -860.0000 5.827 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3627E-08 0.0000E+00
 45 -880.0000 7.356 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3844E-09 0.0000E+00
 46 -900.0000 8.886 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3906E-10 0.0000E+00
